accuracy,f1,auc,log_loss,brier,mrr,top3_accuracy,top3_recall,top3_precision,season,race,phase,model
0.9,0.6666666666666666,0.9803921568627451,0.1581608090373768,0.04722023519231169,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,United States Grand Prix,late,logistic
0.9,0.6666666666666666,0.9803921568627451,0.14369333202786544,0.0401399965726625,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,United States Grand Prix,late,random_forest
0.9,0.6666666666666666,0.9803921568627451,0.1910813854783349,0.05350765634391086,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,United States Grand Prix,late,xgboost
1.0,1.0,1.0,0.010050335853501452,0.00010000000000000011,0.611111111111111,1.0,1.0,1.0,2025,United States Grand Prix,late,qualifying_baseline
0.9,0.6666666666666666,0.9411764705882353,0.18603287684478892,0.05695927364950182,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Mexico City Grand Prix,late,logistic
0.9,0.6666666666666666,0.9607843137254901,0.21962168343317884,0.06791658375056828,0.5666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Mexico City Grand Prix,late,random_forest
0.9,0.6666666666666666,0.9607843137254901,0.1972200556683544,0.054640425911420064,0.5666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Mexico City Grand Prix,late,xgboost
0.9,0.6666666666666666,0.8039215686274509,0.46956232086696026,0.09809999999999999,0.5666666666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Mexico City Grand Prix,late,qualifying_baseline
0.9,0.6666666666666666,0.8627450980392157,0.3525798184755834,0.10028187220971034,0.48148148148148145,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,São Paulo Grand Prix,late,logistic
0.8,0.3333333333333333,0.9215686274509803,0.27384297976344973,0.0811235666565869,0.48333333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333,2025,São Paulo Grand Prix,late,random_forest
0.9,0.6666666666666666,0.9411764705882353,0.2840137918193322,0.07871147860686034,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,São Paulo Grand Prix,late,xgboost
0.9,0.6666666666666666,0.8039215686274509,0.46956232086696026,0.09809999999999999,0.5196078431372549,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,São Paulo Grand Prix,late,qualifying_baseline
0.8,0.3333333333333333,0.7647058823529411,0.4614142930962509,0.13880549149173274,0.22474747474747472,0.3333333333333333,0.3333333333333333,0.3333333333333333,2025,Las Vegas Grand Prix,late,logistic
0.9,0.6666666666666666,0.8431372549019607,0.39644326892478726,0.11753150919149802,0.3148148148148148,0.6666666666666666,0.6666666666666666,0.6666666666666666,2025,Las Vegas Grand Prix,late,random_forest
0.8,0.3333333333333333,0.8627450980392156,0.3861492547430484,0.11842973242371926,0.2976190476190476,0.3333333333333333,0.3333333333333333,0.3333333333333333,2025,Las Vegas Grand Prix,late,xgboost
0.8,0.3333333333333333,0.6078431372549019,0.9290743058804194,0.1961,0.2696078431372549,0.3333333333333333,0.3333333333333333,0.3333333333333333,2025,Las Vegas Grand Prix,late,qualifying_baseline
