driver,team,position,status,dnf_flag,race,race_order,dnf_rate,reliability
HUL,Kick Sauber,,disqualified,1.0,Bahrain Grand Prix,0,,
HUL,Kick Sauber,15.0,lapped,0.0,Saudi Arabian Grand Prix,1,1.0,0.0
HUL,Kick Sauber,7.0,finished,0.0,Australian Grand Prix,2,0.4,0.6
HUL,Kick Sauber,16.0,finished,0.0,Japanese Grand Prix,3,0.2105263157894737,0.7894736842105263
HUL,Kick Sauber,15.0,lapped,0.0,Chinese Grand Prix,4,0.12307692307692311,0.8769230769230769
HUL,Kick Sauber,14.0,,0.0,Miami Grand Prix,5,0.07582938388625594,0.9241706161137441
HUL,Kick Sauber,12.0,finished,0.0,Emilia Romagna Grand Prix,6,0.048120300751879716,0.9518796992481203
HUL,Kick Sauber,16.0,lapped,0.0,Monaco Grand Prix,7,0.03108305002428365,0.9689169499757163
HUL,Kick Sauber,8.0,finished,0.0,Canadian Grand Prix,8,0.020301348136399697,0.9796986518636003
HUL,Kick Sauber,5.0,finished,0.0,Spanish Grand Prix,9,0.013353502686349184,0.9866464973136508
HUL,Kick Sauber,9.0,lapped,0.0,Austrian Grand Prix,10,0.00882378285221888,0.9911762171477811
HUL,Kick Sauber,3.0,finished,0.0,British Grand Prix,11,0.005848120206283308,0.9941518797937167
HUL,Kick Sauber,13.0,lapped,0.0,Hungarian Grand Prix,12,0.0038836056092311525,0.9961163943907688
HUL,Kick Sauber,12.0,finished,0.0,Belgian Grand Prix,13,0.0025823844310463666,0.9974176155689536
HUL,Kick Sauber,14.0,finished,0.0,Dutch Grand Prix,14,0.001718630843675296,0.9982813691563247
HUL,Kick Sauber,,did not start,1.0,Italian Grand Prix,15,0.0011444426461631883,0.9988555573538368
HUL,Kick Sauber,16.0,finished,0.0,Azerbaijan Grand Prix,16,0.33460396682874144,0.6653960331712585
HUL,Kick Sauber,20.0,lapped,0.0,Singapore Grand Prix,17,0.2229559930780382,0.7770440069219617
HUL,Kick Sauber,8.0,finished,0.0,United States Grand Prix,18,0.14858700772677394,0.8514129922732261
HUL,Kick Sauber,,retired,1.0,Mexico City Grand Prix,19,0.09903565288238059,0.9009643471176194
HUL,Kick Sauber,9.0,finished,0.0,Brazilian Grand Prix,20,0.39944744435703183,0.6005525556429682
HUL,Kick Sauber,7.0,finished,0.0,Las Vegas Grand Prix,21,0.2662715963751651,0.7337284036248348
HUL,Kick Sauber,,retired,1.0,Qatar Grand Prix,22,0.17750253296056595,0.822497467039434
HUL,,,,0.0,Abu Dhabi Grand Prix,23,0.4516927869715254,0.5483072130284746
LAW,Racing Bulls,16.0,finished,0.0,Bahrain Grand Prix,0,,
LAW,Racing Bulls,12.0,finished,0.0,Saudi Arabian Grand Prix,1,0.0,1.0
LAW,Red Bull Racing,,retired,1.0,Australian Grand Prix,2,0.0,1.0
LAW,Racing Bulls,17.0,finished,0.0,Japanese Grand Prix,3,0.47368421052631565,0.5263157894736843
LAW,Red Bull Racing,12.0,finished,0.0,Chinese Grand Prix,4,0.2769230769230769,0.7230769230769232
LAW,Racing Bulls,17.0,,0.0,Miami Grand Prix,5,0.17061611374407584,0.8293838862559242
LAW,Racing Bulls,14.0,finished,0.0,Emilia Romagna Grand Prix,6,0.10827067669172935,0.8917293233082706
LAW,Racing Bulls,8.0,lapped,0.0,Monaco Grand Prix,7,0.0699368625546382,0.9300631374453618
LAW,Racing Bulls,,retired,1.0,Canadian Grand Prix,8,0.045678033306899304,0.9543219666931007
LAW,Racing Bulls,11.0,finished,0.0,Spanish Grand Prix,9,0.37228104950185176,0.6277189504981482
LAW,Racing Bulls,6.0,finished,0.0,Austrian Grand Prix,10,0.24599741490736754,0.7540025850926324
LAW,Racing Bulls,,retired,1.0,British Grand Prix,11,0.16303919496970287,0.8369608050302971
LAW,Racing Bulls,8.0,finished,0.0,Hungarian Grand Prix,12,0.44419308043121675,0.5558069195687833
LAW,Racing Bulls,8.0,finished,0.0,Belgian Grand Prix,13,0.2953640020906218,0.7046359979093781
LAW,Racing Bulls,12.0,finished,0.0,Dutch Grand Prix,14,0.1965709202710117,0.8034290797289882
LAW,Racing Bulls,14.0,finished,0.0,Italian Grand Prix,15,0.130897304084572,0.869102695915428
LAW,Racing Bulls,5.0,finished,0.0,Azerbaijan Grand Prix,16,0.0871983403901033,0.9128016596098967
LAW,Racing Bulls,15.0,lapped,0.0,Singapore Grand Prix,17,0.05810269603403379,0.9418973039659662
LAW,Racing Bulls,11.0,finished,0.0,United States Grand Prix,18,0.038722016956653775,0.9612779830433462
LAW,Racing Bulls,,retired,1.0,Mexico City Grand Prix,19,0.025808852933336332,0.9741911470666637
LAW,Racing Bulls,7.0,finished,0.0,Brazilian Grand Prix,20,0.35063692039829203,0.649363079601708
LAW,Racing Bulls,14.0,lapped,0.0,Las Vegas Grand Prix,21,0.2337345096619876,0.7662654903380124
LAW,Racing Bulls,9.0,finished,0.0,Qatar Grand Prix,22,0.15581259161733205,0.8441874083826679
LAW,,,,0.0,Abu Dhabi Grand Prix,23,0.10387043278316524,0.8961295672168348
LEC,Ferrari,4.0,finished,0.0,Bahrain Grand Prix,0,,
LEC,Ferrari,3.0,finished,0.0,Saudi Arabian Grand Prix,1,0.0,1.0
LEC,Ferrari,8.0,finished,0.0,Australian Grand Prix,2,0.0,1.0
LEC,Ferrari,4.0,finished,0.0,Japanese Grand Prix,3,0.0,1.0
LEC,Ferrari,,disqualified,1.0,Chinese Grand Prix,4,0.0,1.0
LEC,Ferrari,7.0,,0.0,Miami Grand Prix,5,0.3838862559241705,0.6161137440758295
LEC,Ferrari,6.0,finished,0.0,Emilia Romagna Grand Prix,6,0.24360902255639097,0.7563909774436091
LEC,Ferrari,2.0,finished,0.0,Monaco Grand Prix,7,0.1573579407479359,0.842642059252064
LEC,Ferrari,5.0,finished,0.0,Canadian Grand Prix,8,0.10277557494052342,0.8972244250594765
LEC,Ferrari,3.0,finished,0.0,Spanish Grand Prix,9,0.06760210734964271,0.9323978926503573
LEC,Ferrari,3.0,finished,0.0,Austrian Grand Prix,10,0.04467040068935805,0.955329599310642
LEC,Ferrari,14.0,finished,0.0,British Grand Prix,11,0.029606108544309232,0.9703938914556908
LEC,Ferrari,4.0,finished,0.0,Hungarian Grand Prix,12,0.019660753396732702,0.9803392466032673
